created_at, provider, input_len, billed_prompt_len, billed_output_len, cached_tokens, duration (ms)
1760721664, meta, 10, 28, 2, 0, 362
1760721665, meta, 100, 28, 2, 0, 453
1760721667, meta, 100, 28, 2, 0, 272
1760721667, meta, 1000, 889, 2, 0, 409
1760721670, meta, 1000, 889, 3, 0, 371
1760721670, meta, 3000, 2714, 3, 0, 479
1760721672, meta, 3000, 2714, 3, 0, 377
1760721673, meta, 10000, 9975, 11, 0, 995
1760721676, meta, 10000, 9975, 3, 0, 564
1760721676, meta, 30000, 30796, 12, 0, 2367
1760721681, meta, 30000, 30796, 269, 0, 5920
1760721687, meta, 100000, 105902, 569, 0, 17624
1760721706, meta, 100000, 105902, 9, 0, 9040
1760721878, meta, 10, 28, 2, 0, 352
1760721880, meta, 10, 28, 2, 0, 379
1760721880, meta, 100, 28, 2, 0, 247
1760721883, meta, 100, 28, 2, 0, 361
1760721883, meta, 1000, 890, 3, 0, 351
1760721885, meta, 1000, 890, 3, 0, 362
1760721886, meta, 3000, 2714, 2, 0, 517
1760721888, meta, 3000, 2714, 3, 0, 459
1760721889, meta, 10000, 9975, 11, 0, 981
1760721892, meta, 10000, 9975, 11, 0, 646
1760721892, meta, 30000, 30796, 60, 0, 3258
1760721898, meta, 30000, 30796, 11, 0, 968
1760721899, meta, 100000, 105901, 13, 0, 9299
1760721910, meta, 100000, 105901, 13, 0, 9177
1760722092, meta, 10, 28, 2, 0, 418
1760722094, meta, 10, 28, 2, 0, 314
1760722094, meta, 100, 28, 2, 0, 355
1760722097, meta, 100, 28, 2, 0, 337
1760722097, meta, 1000, 889, 2, 0, 421
1760722100, meta, 1000, 889, 2, 0, 468
1760722100, meta, 3000, 2714, 3, 0, 509
1760722103, meta, 3000, 2714, 3, 0, 520
1760722103, meta, 10000, 9975, 12, 0, 989
1760722106, meta, 10000, 9975, 3, 0, 484
1760722107, meta, 30000, 30796, 11, 0, 2335
1760722111, meta, 30000, 30796, 212, 0, 3664
1760722115, meta, 100000, 105901, 9, 0, 9519
1760722126, meta, 100000, 105901, 9, 0, 9361
1760722300, meta, 10, 28, 2, 0, 375
1760722302, meta, 10, 28, 2, 0, 383
1760722302, meta, 100, 28, 2, 0, 366
1760722305, meta, 100, 28, 2, 0, 338
1760722305, meta, 1000, 889, 3, 0, 382
1760722307, meta, 1000, 889, 3, 0, 410
1760722308, meta, 3000, 2714, 3, 0, 483
1760722310, meta, 3000, 2714, 3, 0, 469
1760722311, meta, 10000, 9975, 3, 0, 886
1760722314, meta, 10000, 9975, 11, 0, 573
1760722314, meta, 30000, 30796, 119, 0, 3832
